education_level,domain,interests,skills,aptitude,preferred_work_style,career
10th,Engineering,AI,"SQL, Machine Learning",Analytical,Field,Data Scientist
12th,Engineering,AI,"SQL, Python",Analytical,Hybrid,Data Scientist
10th,Engineering,Statistics,"Machine Learning, Python",Analytical,Desk,Data Scientist
10th,Engineering,AI,"Python, SQL",Analytical,Hybrid,Data Scientist
12th,Engineering,Statistics,"SQL, Machine Learning",Analytical,Field,Data Scientist
Graduate,Engineering,Statistics,"Machine Learning, Python",Analytical,Field,Data Scientist
Graduate,Engineering,Data,"Machine Learning, Python",Analytical,Field,Data Scientist
Diploma,Engineering,AI,"Python, Machine Learning",Analytical,Desk,Data Scientist
Diploma,Engineering,Data,"SQL, Machine Learning",Analytical,Desk,Data Scientist
Graduate,Engineering,Statistics,"Python, Machine Learning",Analytical,Desk,Data Scientist
Postgraduate,Engineering,Data,"SQL, Machine Learning",Analytical,Hybrid,Data Scientist
12th,Engineering,Statistics,"Python, SQL",Analytical,Field,Data Scientist
Diploma,Engineering,AI,"Python, SQL",Analytical,Creative,Data Scientist
Diploma,Engineering,Data,"SQL, Machine Learning",Analytical,Field,Data Scientist
Diploma,Engineering,Data,"Python, Machine Learning",Analytical,Desk,Data Scientist
Postgraduate,Engineering,Statistics,"Python, SQL",Analytical,Field,Data Scientist
Graduate,Engineering,Data,"Machine Learning, Python",Analytical,Research,Data Scientist
10th,Engineering,AI,"Python, Machine Learning",Analytical,Creative,Data Scientist
Diploma,Engineering,AI,"Python, Machine Learning",Analytical,Field,Data Scientist
Graduate,Engineering,Data,"SQL, Machine Learning",Analytical,Field,Data Scientist
Diploma,Engineering,AI,"Python, Machine Learning",Analytical,Hybrid,Data Scientist
Graduate,Engineering,Statistics,"Machine Learning, SQL",Analytical,Field,Data Scientist
12th,Engineering,Statistics,"Machine Learning, Python",Analytical,Desk,Data Scientist
10th,Engineering,AI,"SQL, Python",Analytical,Creative,Data Scientist
Postgraduate,Engineering,AI,"Machine Learning, SQL",Analytical,Hybrid,Data Scientist
Graduate,Engineering,Statistics,"Machine Learning, Python",Analytical,Desk,Data Scientist
